"11111","New","300","2025-10-10","123"
"11102","*****Dummy_Data_For_11102*****","37","-","17"
"11103","*****Dummy_Data_For_11103*****","331","-","16"
"11104","*****Dummy_Data_For_11104*****","378","-","16"
"11105","*****Dummy_Data_For_11105*****","835","-","17"
"11106","*****Dummy_Data_For_11106*****","879","-","16"
"11107","*****Dummy_Data_For_11107*****","226","-","16"
"11108","*****Dummy_Data_For_11108*****","660","-","16"
"11109","*****Dummy_Data_For_11109*****","34","-","16"
"11110","*****Dummy_Data_For_11110*****","828","-","16"
"11201","*****Dummy_Data_For_11201*****","351","-","24"
"11202","*****Dummy_Data_For_11202*****","720","-","23"
"11203","*****Dummy_Data_For_11203*****","421","-","23"
"11204","*****Dummy_Data_For_11204*****","921","-","24"
"11205","*****Dummy_Data_For_11205*****","901","-","25"
"11206","*****Dummy_Data_For_11206*****","480","-","22"
"11207","*****Dummy_Data_For_11207*****","581","-","24"
"11208","*****Dummy_Data_For_11208*****","758","-","24"
"11209","*****Dummy_Data_For_11209*****","127","-","24"
"11210","*****Dummy_Data_For_11210*****","369","-","23"
"12101","*****Dummy_Data_For_12101*****","942","2022-01-31","18"
"12102","*****Dummy_Data_For_12102*****","446","2022-02-25","17"
"12103","*****Dummy_Data_For_12103*****","141","2022-03-30","13"
"12104","*****Dummy_Data_For_12104*****","983","2022-04-10","16"
"12105","*****Dummy_Data_For_12105*****","657","2022-05-12","19"
"12106","*****Dummy_Data_For_12106*****","336","2022-06-22","14"
"12107","*****Dummy_Data_For_12107*****","441","2022-07-30","17"
"12108","*****Dummy_Data_For_12108*****","361","2022-08-31","15"
"12109","*****Dummy_Data_For_12109*****","50","2022-09-30","15"
"12110","*****Dummy_Data_For_12110*****","673","2022-10-10","14"
"12111","*****Dummy_Data_For_12111*****","725","2022-11-11","16"
"12112","*****Dummy_Data_For_12112*****","652","2022-12-25","13"
"12113","*****Dummy_Data_For_12113*****","128","2022-01-31","18"
"12114","*****Dummy_Data_For_12114*****","533","2022-02-25","13"
"12115","*****Dummy_Data_For_12115*****","437","2022-03-30","14"
"12116","*****Dummy_Data_For_12116*****","822","2022-04-10","13"
"12117","*****Dummy_Data_For_12117*****","380","2022-05-12","14"
"12118","*****Dummy_Data_For_12118*****","465","2022-06-22","19"
"12119","*****Dummy_Data_For_12119*****","701","2022-07-30","17"
"12120","*****Dummy_Data_For_12120*****","407","2022-08-31","15"
"12201","*****Dummy_Data_For_12201*****","267","2022-09-30","29"
"12202","*****Dummy_Data_For_12202*****","598","2022-10-10","29"
"12203","*****Dummy_Data_For_12203*****","458","2022-11-11","37"
"12204","*****Dummy_Data_For_12204*****","326","2022-12-25","36"
"12205","*****Dummy_Data_For_12205*****","175","2022-01-31","30"
"12206","*****Dummy_Data_For_12206*****","751","2022-02-25","30"
"12207","*****Dummy_Data_For_12207*****","741","2022-03-30","34"
"12208","*****Dummy_Data_For_12208*****","246","2022-04-10","31"
"12209","*****Dummy_Data_For_12209*****","232","2022-05-12","29"
"12210","*****Dummy_Data_For_12210*****","392","2022-06-22","36"
"13101","*****Dummy_Data_For_13101*****","447","2022-07-30","30"
"13102","*****Dummy_Data_For_13102*****","297","2022-08-31","30"
"13103","*****Dummy_Data_For_13103*****","607","2022-09-30","30"
"13104","*****Dummy_Data_For_13104*****","796","2022-10-10","26"
"13105","*****Dummy_Data_For_13105*****","726","2022-11-11","30"
"13201","*****Dummy_Data_For_13201*****","811","2022-12-25","35"
"13202","*****Dummy_Data_For_13202*****","704","2022-01-31","40"
"13203","*****Dummy_Data_For_13203*****","226","2022-02-25","40"
"13204","*****Dummy_Data_For_13204*****","501","2022-03-30","31"
"13205","*****Dummy_Data_For_13205*****","742","2022-04-10","38"
"13206","*****Dummy_Data_For_13206*****","117","2022-05-12","33"
"13207","*****Dummy_Data_For_13207*****","192","2022-06-22","32"
"13208","*****Dummy_Data_For_13208*****","678","2022-07-30","32"
"13209","*****Dummy_Data_For_13209*****","690","2022-08-31","34"
"13210","*****Dummy_Data_For_13210*****","311","2022-09-30","36"
"13211","*****Dummy_Data_For_13211*****","579","2022-10-10","40"
"13212","*****Dummy_Data_For_13212*****","947","2022-11-11","36"
"13213","*****Dummy_Data_For_13213*****","187","2022-12-25","36"
"13214","*****Dummy_Data_For_13214*****","940","2022-01-31","39"
"13215","*****Dummy_Data_For_13215*****","764","2022-02-25","36"
